NIFTY Index,,,SENSEX Index,,,SHCOMP Index,,,HSI Index,,,SPX Index,,,CCMP Index,,,UKX Index,,,TPX Index,,,N100 Index,,,SPTSX Index,,,DJSZ Index,,,KRDOW Index,,,TWSE Index,,,MXBR Index,,,MXDE Index,,,ASX Index,,,FRDOW Index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,Date,PX_LAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2007,4007.4,,1/2/2007,13942.24,,1/4/2007,2715.719,,1/2/2007,20310.18,,1/3/2007,1416.6,,1/3/2007,2423.16,,1/2/2007,6310.9,,1/4/2007,1698.95,,1/2/2007,974.37,,1/2/2007,12923.66,,1/2/2007,189.35,,1/2/2007,296.39,,1/2/2007,7920.8,,1/1/2007,2205.43,,1/2/2007,118.4,,1/2/2007,3265.89,,1/2/2007,355.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2007,4024.05,,1/3/2007,14014.92,,1/5/2007,2641.334,,1/3/2007,20413.39,,1/4/2007,1418.34,,1/4/2007,2453.43,,1/3/2007,6319,,1/5/2007,1675.33,,1/3/2007,973.04,,1/3/2007,12701.44,,1/3/2007,189.35,,1/3/2007,290.57,,1/3/2007,7917.3,,1/2/2007,2247.47,,1/3/2007,118.61,,1/3/2007,3269.9,,1/3/2007,355.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2007,3988.8,,1/4/2007,13871.71,,1/8/2007,2707.199,,1/4/2007,20025.58,,1/5/2007,1409.71,,1/5/2007,2434.25,,1/4/2007,6287,,1/9/2007,1692.12,,1/4/2007,967.42,,1/4/2007,12553.6,,1/4/2007,190.31,,1/4/2007,287.57,,1/4/2007,7934.51,,1/3/2007,2194.4,,1/4/2007,118.28,,1/4/2007,3253.27,,1/4/2007,353.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2007,3983.4,,1/5/2007,13860.52,,1/9/2007,2807.804,,1/5/2007,20211.28,,1/8/2007,1412.84,,1/8/2007,2438.2,,1/5/2007,6220.1,,1/10/2007,1663,,1/5/2007,957.67,,1/5/2007,12477.97,,1/5/2007,192.68,,1/5/2007,285.35,,1/5/2007,7835.57,,1/4/2007,2164.06,,1/5/2007,116.9,,1/5/2007,3222.35,,1/5/2007,350.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2007,3933.4,,1/8/2007,13652.15,,1/10/2007,2825.576,,1/8/2007,20029.66,,1/9/2007,1412.11,,1/9/2007,2443.83,,1/8/2007,6194.2,,1/11/2007,1656.72,,1/8/2007,958.69,,1/8/2007,12553.09,,1/8/2007,198.68,,1/8/2007,282.33,,1/8/2007,7736.71,,1/5/2007,2081.32,,1/8/2007,117.22,,1/8/2007,3209.99,,1/8/2007,350.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/2007,3911.4,,1/9/2007,13566.33,,1/11/2007,2770.11,,1/9/2007,19898.08,,1/10/2007,1414.85,,1/10/2007,2459.33,,1/9/2007,6196.1,,1/12/2007,1685.27,,1/9/2007,962.5,,1/9/2007,12467.99,,1/9/2007,203.59,,1/9/2007,283.12,,1/9/2007,7790.01,,1/8/2007,2111.23,,1/9/2007,117.31,,1/9/2007,3210.8,,1/9/2007,351.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/2007,3850.3,,1/10/2007,13362.16,,1/12/2007,2668.11,,1/10/2007,19568.34,,1/11/2007,1423.82,,1/11/2007,2484.85,,1/10/2007,6160.7,,1/15/2007,1704.58,,1/10/2007,957.92,,1/10/2007,12457.55,,1/10/2007,209.71,,1/10/2007,279.27,,1/10/2007,7698.52,,1/9/2007,2073.21,,1/10/2007,116.43,,1/10/2007,3192.88,,1/10/2007,349.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2007,3942.25,,1/11/2007,13630.71,,1/15/2007,2794.701,,1/11/2007,19385.37,,1/12/2007,1430.73,,1/12/2007,2502.82,,1/11/2007,6230.1,,1/16/2007,1703.54,,1/11/2007,973.97,,1/11/2007,12519.9,,1/11/2007,210.07,,1/11/2007,281.36,,1/11/2007,7618.55,,1/10/2007,2077.72,,1/11/2007,118.53,,1/11/2007,3224.02,,1/11/2007,355.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2007,4052.45,,1/12/2007,14056.53,,1/16/2007,2821.017,,1/12/2007,19613.41,,1/16/2007,1431.9,,1/16/2007,2497.78,,1/12/2007,6239,,1/17/2007,1706.76,,1/12/2007,975.9,,1/12/2007,12678.81,,1/12/2007,205.73,,1/12/2007,286.48,,1/12/2007,7761.71,,1/11/2007,2104.43,,1/12/2007,118.83,,1/12/2007,3227.28,,1/12/2007,356.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/2007,4078.4,,1/15/2007,14129.64,,1/17/2007,2778.9,,1/15/2007,20068.56,,1/17/2007,1430.62,,1/17/2007,2479.42,,1/15/2007,6263.5,,1/18/2007,1715.17,,1/15/2007,979.26,,1/15/2007,12755.36,,1/15/2007,217.07,,1/15/2007,287.52,,1/15/2007,7783.5,,1/12/2007,2127.36,,1/15/2007,119.33,,1/15/2007,3242.19,,1/15/2007,357.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
